OutcomeType,AnimalType,SexuponOutcome,AgeuponOutcome,Breed,Color,isPurebred,ReproductiveStatus
2,Dog,Male,Senior,Rat Terrier Mix,Chocolate/White,0,Intact
1,Dog,Female,Adolescent,German Shepherd Mix,Black/Brown,0,Neutered
2,Cat,Female,Adolescent,Domestic Shorthair Mix,Tortie,0,Neutered
0,Dog,Male,Adult,Rat Terrier Mix,Tricolor,0,Neutered
2,Cat,Male,Baby,Domestic Shorthair Mix,Brown Tabby,0,Intact
0,Cat,Male,Baby,Domestic Shorthair Mix,Brown Tabby,0,Neutered
2,Cat,Unknown,Baby,Domestic Shorthair Mix,Blue Tabby,0,Unknown
2,Dog,Female,Baby,Black Mouth Cur Mix,Black/Brown,0,Intact
0,Cat,Male,Baby,Siamese Mix,Flame Point,0,Intact
2,Cat,Female,Adult,Domestic Shorthair Mix,Black/White,0,Neutered
0,Dog,Male,Baby,Chihuahua Shorthair Mix,Black,0,Neutered
0,Dog,Male,Adolescent,Chihuahua Longhair/Dachshund,Tricolor,0,Neutered
2,Cat,Unknown,Baby,Domestic Shorthair Mix,Brown Tabby,0,Unknown
2,Dog,Male,Adolescent,Australian Shepherd/Labrador Retriever,Black/White,0,Neutered
2,Dog,Male,Adolescent,Pit Bull Mix,Black/White,0,Neutered
2,Cat,Female,Baby,Domestic Shorthair Mix,Tortie,0,Intact
2,Dog,Male,Adolescent,Jack Russell Terrier/Pug,Brown/White,0,Intact
0,Dog,Female,Baby,Chinese Sharpei Mix,Black/White,0,Neutered
2,Cat,Male,Baby,Siamese Mix,Lynx Point,0,Intact
2,Cat,Female,Adolescent,Domestic Medium Hair Mix,Blue Tabby,0,Intact
2,Dog,Male,Baby,Pit Bull Mix,Brown Brindle,0,Intact
0,Cat,Female,Baby,Domestic Shorthair Mix,Tortie,0,Neutered
1,Dog,Male,Senior,Siberian Husky,Gray/Tan,1,Neutered
0,Cat,Male,Baby,Domestic Shorthair Mix,Orange Tabby,0,Neutered
0,Dog,Female,Senior,Chihuahua Shorthair Mix,Black/White,0,Neutered
2,Cat,Unknown,Baby,Domestic Shorthair Mix,Brown Tabby,0,Unknown
2,Dog,Female,Adolescent,Chihuahua Shorthair/Dachshund,Sable,0,Neutered
3,Cat,Male,Adolescent,Siamese Mix,Lynx Point,0,Intact
1,Dog,Female,Adult,Chihuahua Shorthair Mix,Black,0,Neutered
0,Cat,Female,Baby,Domestic Shorthair Mix,Black/White,0,Neutered
2,Dog,Male,Baby,Chihuahua Shorthair/Dachshund Wirehair,Brown/White,0,Neutered
0,Dog,Male,Adolescent,Pit Bull Mix,Fawn/White,0,Neutered
2,Cat,Unknown,Adolescent,Domestic Shorthair Mix,Orange Tabby,0,Unknown
0,Cat,Male,Baby,Domestic Shorthair Mix,Brown Tabby,0,Neutered
0,Cat,Male,Baby,Domestic Medium Hair Mix,Brown Tabby/White,0,Neutered
0,Dog,Female,Baby,Chihuahua Shorthair Mix,Tan/White,0,Neutered
0,Cat,Female,Baby,Domestic Shorthair Mix,Brown Tabby,0,Neutered
1,Dog,Female,Adult,Pit Bull Mix,Black/White,0,Neutered
2,Cat,Female,Baby,Domestic Medium Hair Mix,Blue/White,0,Intact
3,Cat,Unknown,Adolescent,Domestic Shorthair Mix,Brown Tabby,0,Unknown
2,Cat,Male,Baby,Domestic Shorthair Mix,Orange Tabby,0,Intact
2,Dog,Male,Baby,Australian Cattle Dog/Border Collie,Black/White,0,Intact
0,Dog,Female,Adolescent,Chihuahua Shorthair/Dachshund,Tan,0,Neutered
1,Dog,Male,Adolescent,Cairn Terrier/English Bulldog,Tan/White,0,Neutered
0,Dog,Female,Adolescent,Black Mouth Cur Mix,Black/Brown,0,Neutered
0,Dog,Male,Baby,Australian Cattle Dog Mix,Black/White,0,Neutered
2,Dog,Female,Baby,Chihuahua Shorthair Mix,Tan,0,Intact
0,Cat,Female,Adult,Maine Coon Mix,Tortie,0,Neutered
1,Cat,Male,Adult,Domestic Shorthair Mix,Orange Tabby/White,0,Neutered
2,Cat,Female,Baby,Domestic Shorthair Mix,Torbie,0,Neutered
2,Dog,Female,Adolescent,Black/Plott Hound,Brown/Tan,0,Intact
2,Cat,Female,Adolescent,Domestic Shorthair Mix,Blue/White,0,Neutered
0,Cat,Male,Baby,Domestic Shorthair Mix,Black/White,0,Neutered
2,Cat,Unknown,Unknown,Domestic Shorthair Mix,Black,0,Unknown
3,Dog,Unknown,Baby,Pit Bull Mix,Black/White,0,Unknown
0,Cat,Female,Baby,Domestic Shorthair Mix,Black Tabby/White,0,Neutered
1,Dog,Male,Adult,Pit Bull,Blue/White,1,Neutered
0,Dog,Female,Adult,Dachshund Mix,Red,0,Neutered
2,Dog,Male,Adult,Dachshund Mix,Red,0,Neutered
0,Cat,Female,Baby,Domestic Longhair,Cream Tabby,1,Neutered
2,Cat,Female,Baby,Domestic Shorthair Mix,Black,0,Intact
0,Dog,Female,Baby,Pit Bull Mix,Brown/White,0,Neutered
1,Dog,Male,Adult,Australian Shepherd Mix,Blue Merle/Tan,0,Neutered
0,Dog,Male,Adolescent,Catahoula,Brown Merle,1,Neutered
2,Cat,Female,Baby,Domestic Shorthair Mix,Brown Tabby/White,0,Intact
0,Dog,Male,Senior,Miniature Schnauzer,Gray,1,Neutered
0,Dog,Female,Adult,American Pit Bull Terrier/Catahoula,Brown/White,0,Neutered
0,Cat,Female,Baby,Domestic Shorthair Mix,Blue Tabby,0,Neutered
2,Dog,Male,Adult,Maltese Mix,White,0,Neutered
2,Dog,Female,Baby,Labrador Retriever Mix,Black/White,0,Intact
2,Dog,Male,Adolescent,Australian Kelpie Mix,Red,0,Neutered
0,Dog,Female,Adult,Jack Russell Terrier/Pomeranian,Tan,0,Neutered
1,Dog,Male,Adolescent,Chihuahua Shorthair/Dachshund,Tan/White,0,Intact
3,Cat,Female,Adolescent,Domestic Shorthair Mix,Brown Tabby,0,Intact
1,Dog,Male,Adolescent,Pit Bull Mix,Blue/White,0,Intact
1,Dog,Female,Adolescent,Pit Bull Mix,Black/White,0,Intact
0,Cat,Male,Baby,Domestic Shorthair Mix,Brown Tabby/White,0,Neutered
0,Dog,Female,Adolescent,Border Collie/Labrador Retriever,Black/White,0,Neutered
0,Dog,Male,Adolescent,Australian Cattle Dog Mix,Tan/White,0,Neutered
1,Dog,Male,Adolescent,Chihuahua Shorthair Mix,Black/Tan,0,Neutered
2,Cat,Female,Baby,Domestic Shorthair Mix,Blue/White,0,Intact
0,Dog,Male,Adolescent,Pit Bull Mix,Black/White,0,Neutered
2,Dog,Male,Adolescent,Chihuahua Shorthair/Rat Terrier,Tricolor,0,Neutered
0,Dog,Female,Senior,Bull Terrier Mix,Tan/White,0,Neutered
2,Cat,Female,Baby,Domestic Shorthair Mix,Blue,0,Intact
1,Dog,Female,Baby,Australian Cattle Dog Mix,Black/White,0,Neutered
2,Dog,Female,Adult,Boxer Mix,White,0,Neutered
2,Cat,Unknown,Baby,Domestic Shorthair Mix,Blue/White,0,Unknown
1,Dog,Female,Senior,Beagle Mix,Tricolor,0,Intact
2,Cat,Unknown,Adolescent,Domestic Medium Hair Mix,Black,0,Unknown
1,Dog,Female,Senior,German Shepherd Mix,Black/Cream,0,Neutered
2,Cat,Male,Baby,Domestic Shorthair Mix,Cream,0,Intact
3,Cat,Unknown,Senior,Domestic Shorthair Mix,Black/White,0,Unknown
0,Dog,Male,Adolescent,Black Mouth Cur/Labrador Retriever,Sable,0,Neutered
2,Dog,Male,Adult,Toy Poodle Mix,White,0,Neutered
3,Dog,Male,Adolescent,St. Bernard Smooth Coat Mix,Red/White,0,Neutered
0,Dog,Female,Adolescent,Catahoula Mix,Brown Merle,0,Neutered
1,Dog,Male,Adult,Miniature Schnauzer Mix,Gray,0,Intact
3,Dog,Male,Adolescent,Pit Bull Mix,Brown/White,0,Neutered
2,Cat,Female,Baby,Domestic Shorthair Mix,Blue,0,Neutered
3,Dog,Male,Adolescent,Pit Bull Mix,Tan/White,0,Neutered
2,Dog,Female,Adolescent,Lhasa Apso Mix,Cream,0,Intact
1,Dog,Female,Senior,Chihuahua Shorthair/Chinese Sharpei,Tan/White,0,Neutered
3,Dog,Male,Adult,Labrador Retriever Mix,Black,0,Neutered
0,Dog,Male,Adolescent,Cardigan Welsh Corgi Mix,Chocolate/Tan,0,Neutered
2,Cat,Male,Adolescent,Domestic Shorthair Mix,Cream/White,0,Neutered
2,Dog,Female,Adolescent,Basset Hound/Chow Chow,Red,0,Neutered
1,Dog,Male,Adult,Labrador Retriever/Miniature Schnauzer,Black/White,0,Neutered
2,Dog,Male,Baby,Australian Shepherd Mix,Black/Tricolor,0,Intact
0,Dog,Male,Baby,Chihuahua Shorthair/Dachshund,Tan,0,Neutered
0,Dog,Male,Adolescent,Pit Bull Mix,Brown/White,0,Neutered
2,Cat,Male,Adolescent,Domestic Shorthair Mix,Brown Tabby,0,Intact
0,Cat,Male,Baby,Domestic Shorthair Mix,Brown Tabby/White,0,Neutered
1,Dog,Female,Adolescent,Blue Lacy Mix,Red/White,0,Neutered
1,Dog,Male,Adult,Shih Tzu Mix,Gray/White,0,Neutered
2,Cat,Unknown,Baby,Domestic Shorthair Mix,Black,0,Unknown
3,Cat,Male,Baby,Domestic Shorthair Mix,Brown Tabby/White,0,Intact
1,Dog,Male,Adult,Pomeranian Mix,Tan/White,0,Neutered
2,Dog,Male,Baby,Border Collie Mix,Black/White,0,Intact
2,Cat,Female,Adolescent,Domestic Shorthair Mix,Cream Tabby/White,0,Intact
3,Dog,Male,Adult,Dachshund Mix,Brown,0,Intact
0,Cat,Male,Baby,Domestic Shorthair Mix,Orange Tabby/White,0,Neutered
0,Dog,Female,Baby,Pointer Mix,Black/White,0,Intact
2,Cat,Female,Adolescent,Domestic Shorthair Mix,Tortie,0,Neutered
2,Cat,Unknown,Baby,Domestic Shorthair Mix,Cream,0,Unknown
2,Cat,Unknown,Baby,Domestic Shorthair Mix,Brown Tabby/White,0,Unknown
2,Dog,Male,Adolescent,Pug Mix,Black/Tan,0,Neutered
0,Dog,Male,Adolescent,Border Collie/Labrador Retriever,Black/White,0,Neutered
1,Dog,Male,Adult,Pit Bull Mix,Blue/White,0,Neutered
2,Dog,Female,Baby,Chihuahua Shorthair Mix,Brown/White,0,Intact
0,Dog,Male,Adolescent,Jack Russell Terrier,Brown/White,1,Neutered
1,Dog,Male,Baby,German Shepherd/Labrador Retriever,Black,0,Neutered
1,Dog,Female,Adolescent,Alaskan Husky/Catahoula,Tan/White,0,Neutered
2,Cat,Male,Adolescent,Domestic Shorthair Mix,Brown Tabby/White,0,Intact
0,Cat,Male,Adolescent,Domestic Shorthair Mix,Brown Tabby/White,0,Neutered
0,Cat,Female,Senior,Siamese Mix,Lynx Point,0,Neutered
1,Dog,Male,Senior,Boston Terrier Mix,Black/White,0,Neutered
0,Dog,Female,Adolescent,Pit Bull Mix,Brown Brindle/White,0,Intact
2,Cat,Female,Baby,Domestic Shorthair Mix,Black/White,0,Intact
0,Dog,Male,Adolescent,Papillon Mix,Black/White,0,Neutered
2,Dog,Female,Adult,Chihuahua Longhair Mix,Black,0,Intact
0,Dog,Female,Baby,Doberman Pinsch,Black/Brown,1,Neutered
0,Cat,Male,Baby,Domestic Shorthair Mix,Black,0,Neutered
0,Cat,Male,Baby,Domestic Shorthair Mix,Blue Tabby,0,Neutered
0,Cat,Female,Baby,Domestic Shorthair Mix,Black,0,Neutered
0,Dog,Female,Adult,Miniature Poodle Mix,White,0,Neutered
2,Cat,Male,Senior,Domestic Shorthair Mix,Orange Tabby,0,Neutered
2,Dog,Female,Baby,Anatol Shepherd/Labrador Retriever,Tan/White,0,Intact
2,Dog,Male,Adult,Jack Russell Terrier Mix,Tricolor,0,Neutered
2,Dog,Male,Adult,Doberman Pinsch Mix,Black/Brown,0,Neutered
2,Cat,Female,Adolescent,Domestic Shorthair Mix,Tortie,0,Intact
0,Dog,Male,Adult,Chihuahua Shorthair Mix,Black/Brown,0,Neutered
1,Dog,Female,Adult,German Shepherd,Black/Brown,1,Intact
2,Dog,Male,Adolescent,Chinese Sharpei,Tan,1,Neutered
2,Cat,Male,Baby,Domestic Shorthair Mix,Orange Tabby,0,Intact
2,Cat,Unknown,Baby,Domestic Shorthair Mix,Black,0,Unknown
2,Cat,Female,Adolescent,Domestic Shorthair Mix,White,0,Intact
2,Dog,Unknown,Baby,Chihuahua Shorthair Mix,Black/White,0,Unknown
0,Dog,Female,Adult,Finnish Spitz/Golden Retriever,Buff,0,Neutered
0,Dog,Female,Senior,Miniature Schnauzer Mix,Black,0,Neutered
2,Cat,Unknown,Baby,Domestic Shorthair Mix,Blue/White,0,Unknown
2,Dog,Male,Adult,Shih Tzu,Black/White,1,Intact
3,Dog,Male,Senior,Australian Shepherd Mix,Black/Tricolor,0,Neutered
1,Dog,Female,Adolescent,Beagle Mix,Tricolor,0,Neutered
0,Cat,Female,Baby,Domestic Medium Hair Mix,Brown Tabby,0,Neutered
0,Cat,Male,Baby,Domestic Shorthair Mix,Orange Tabby/White,0,Neutered
2,Cat,Female,Baby,Domestic Shorthair Mix,Black/White,0,Intact
2,Dog,Unknown,Baby,German Shepherd Mix,Black/Tan,0,Unknown
0,Cat,Female,Baby,Domestic Shorthair Mix,Brown Tabby,0,Neutered
0,Dog,Female,Adolescent,Plott Hound,Brown Brindle/White,1,Neutered
0,Cat,Female,Adult,Domestic Shorthair Mix,Calico,0,Neutered
2,Dog,Male,Baby,Miniature Poodle/Shih Tzu,Black,0,Intact
0,Cat,Male,Baby,Domestic Longhair Mix,Orange Tabby,0,Neutered
2,Cat,Female,Adolescent,Domestic Shorthair Mix,Brown Tabby,0,Neutered
0,Dog,Female,Adolescent,Basset Hound/Beagle,Black/White,0,Neutered
2,Dog,Male,Adult,Boxer Mix,Tan/White,0,Neutered
0,Dog,Female,Senior,German Shepherd/Labrador Retriever,Black/Tan,0,Neutered
3,Dog,Male,Senior,Labrador Retriever Mix,Black/White,0,Intact
0,Dog,Male,Baby,Dachshund Mix,Red/White,0,Neutered
2,Cat,Unknown,Baby,Domestic Shorthair Mix,Orange Tabby,0,Unknown
0,Dog,Male,Baby,Chihuahua Shorthair Mix,Brown/White,0,Neutered
1,Dog,Female,Adolescent,Plott Hound Mix,Brown Brindle/White,0,Neutered
0,Dog,Male,Baby,Labrador Retriever Mix,Tan,0,Neutered
1,Cat,Male,Adolescent,Domestic Shorthair Mix,Brown Tabby,0,Neutered
1,Dog,Female,Adult,Welsh Terrier Mix,Tan/White,0,Neutered
0,Dog,Female,Adult,German Shepherd Mix,Sable,0,Neutered
0,Cat,Male,Adolescent,Domestic Shorthair Mix,Brown Tabby,0,Neutered
0,Dog,Male,Adolescent,Basenji Mix,Red,0,Neutered
0,Dog,Female,Baby,Collie Smooth/Jack Russell Terrier,Tricolor,0,Neutered
2,Cat,Male,Baby,Domestic Shorthair Mix,Brown Tabby/White,0,Intact
0,Dog,Female,Adolescent,Chihuahua Shorthair/Pug,Buff/White,0,Neutered
0,Dog,Male,Adult,Miniature Schnauzer Mix,Gray,0,Neutered
2,Cat,Male,Baby,Domestic Shorthair Mix,Black,0,Intact
0,Cat,Male,Adolescent,Siamese Mix,Flame Point,0,Neutered
3,Cat,Unknown,Baby,Domestic Medium Hair Mix,Brown Tabby,0,Unknown
0,Dog,Male,Adult,Chihuahua Shorthair Mix,Tan/White,0,Neutered
1,Dog,Female,Adolescent,Mastiff Mix,Brown Brindle,0,Intact
2,Dog,Female,Adult,Chihuahua Shorthair Mix,Brown,0,Neutered
2,Cat,Unknown,Baby,Domestic Shorthair Mix,Black,0,Unknown
3,Cat,Male,Baby,Domestic Shorthair Mix,Brown Tabby/White,0,Intact
0,Cat,Female,Baby,Domestic Shorthair Mix,Brown Tabby,0,Neutered
1,Dog,Male,Adult,Rhod Ridgeback Mix,Red,0,Neutered
1,Dog,Male,Adolescent,Pit Bull Mix,Tan/White,0,Neutered
2,Cat,Female,Baby,Domestic Shorthair Mix,Black,0,Intact
2,Dog,Female,Baby,Australian Shepherd/Labrador Retriever,Black/White,0,Neutered
2,Cat,Female,Adolescent,Domestic Shorthair Mix,Black,0,Intact
3,Dog,Male,Adolescent,Australian Cattle Dog Mix,Tricolor,0,Neutered
0,Cat,Female,Baby,Domestic Shorthair Mix,Orange Tabby,0,Neutered
0,Dog,Female,Adolescent,Border Collie/English Pointer,Brown/White,0,Neutered
1,Dog,Male,Adolescent,Pit Bull Mix,Black,0,Neutered
0,Dog,Female,Baby,Border Collie/Great Pyrenees,Black/White,0,Neutered
2,Cat,Female,Unknown,Domestic Shorthair Mix,Blue/White,0,Intact
1,Dog,Male,Adolescent,Chihuahua Shorthair Mix,Buff,0,Neutered
3,Cat,Female,Baby,Domestic Shorthair Mix,Tortie/White,0,Intact
1,Cat,Male,Adult,Domestic Shorthair Mix,Brown Tabby,0,Neutered
2,Cat,Female,Adult,Domestic Shorthair Mix,Calico,0,Neutered
1,Dog,Female,Adult,Pit Bull Mix,Blue/White,0,Intact
2,Cat,Female,Adult,Russian Blue Mix,Blue,0,Neutered
0,Dog,Female,Adult,Dachshund Longhair Mix,Red,0,Neutered
2,Cat,Male,Adult,Domestic Longhair Mix,Brown Tabby,0,Neutered
0,Dog,Female,Baby,German Shepherd Mix,Tan/White,0,Neutered
2,Cat,Female,Adolescent,Domestic Shorthair Mix,Black/White,0,Neutered
0,Cat,Male,Baby,Domestic Medium Hair Mix,Black/White,0,Neutered
3,Cat,Female,Baby,Domestic Shorthair Mix,White,0,Intact
0,Dog,Female,Adolescent,German Shepherd Mix,Tan,0,Neutered
0,Dog,Male,Adolescent,Australian Shepherd Mix,Tricolor,0,Neutered
1,Dog,Female,Adolescent,Pit Bull Mix,Tan/White,0,Neutered
0,Dog,Female,Baby,Plott Hound/Rhod Ridgeback,Brown/White,0,Neutered
3,Cat,Female,Baby,Domestic Shorthair Mix,Blue/White,0,Intact
3,Cat,Male,Baby,Domestic Shorthair Mix,Brown Tabby/White,0,Intact
2,Cat,Female,Adolescent,Domestic Shorthair Mix,Brown Tabby,0,Intact
2,Dog,Male,Adolescent,Pit Bull Mix,Black Brindle/White,0,Neutered
0,Dog,Male,Adolescent,Anatol Shepherd Mix,Tan/White,0,Neutered
2,Dog,Male,Adolescent,Chihuahua Shorthair Mix,Black/Tan,0,Intact
2,Cat,Female,Adolescent,Domestic Shorthair Mix,Black,0,Intact
0,Cat,Female,Adult,Domestic Shorthair Mix,Black,0,Neutered
0,Dog,Female,Adult,Australian Cattle Dog Mix,Red Tick/Tan,0,Intact
1,Dog,Male,Senior,German Shorthair Pointer,Liver/White,1,Neutered
0,Cat,Female,Baby,Domestic Shorthair Mix,Brown Tabby/White,0,Neutered
0,Dog,Female,Baby,Boxer/Pit Bull,Brown/White,0,Neutered
2,Cat,Female,Adolescent,Domestic Shorthair Mix,Tortie,0,Neutered
0,Cat,Male,Baby,Domestic Shorthair Mix,Brown Tabby,0,Neutered
0,Dog,Male,Adolescent,Australian Kelpie Mix,Brown Brindle,0,Neutered
2,Dog,Male,Adult,Beagle,Tricolor,1,Neutered
0,Cat,Female,Baby,Domestic Medium Hair Mix,Orange Tabby,0,Neutered
2,Cat,Male,Adolescent,Domestic Shorthair Mix,Gray Tabby/White,0,Intact
1,Dog,Female,Adult,Staffordshire Mix,Brown Brindle/White,0,Neutered
2,Cat,Male,Adolescent,Domestic Shorthair Mix,Brown Tabby,0,Intact
0,Cat,Male,Baby,Domestic Shorthair Mix,Black Tabby,0,Neutered
0,Dog,Female,Baby,German Shepherd Mix,Tan,0,Neutered
2,Dog,Male,Adult,Chihuahua Longhair Mix,White,0,Neutered
0,Cat,Female,Adult,Javanese Mix,Tortie Point,0,Neutered
2,Dog,Male,Adolescent,Chihuahua Shorthair Mix,Brown/White,0,Neutered
0,Cat,Male,Senior,Domestic Shorthair Mix,Orange Tabby,0,Neutered
2,Cat,Male,Baby,Domestic Medium Hair Mix,Brown Tabby,0,Intact
0,Dog,Female,Senior,Chihuahua Shorthair Mix,Black/Tricolor,0,Neutered
0,Cat,Female,Baby,Domestic Shorthair Mix,Torbie,0,Neutered
0,Cat,Female,Baby,Domestic Longhair Mix,Calico/White,0,Neutered
0,Cat,Female,Baby,Domestic Shorthair Mix,Torbie,0,Intact
1,Dog,Male,Baby,Pit Bull Mix,Black/White,0,Intact
1,Dog,Male,Adult,Bloodhound Mix,Red,0,Neutered
2,Cat,Male,Adolescent,Domestic Shorthair Mix,Brown Tabby/White,0,Neutered
2,Cat,Female,Adolescent,Domestic Shorthair Mix,Black,0,Neutered
1,Dog,Male,Adolescent,Blue Lacy Mix,Blue/White,0,Intact
2,Cat,Male,Baby,Domestic Shorthair Mix,Orange,0,Intact
2,Dog,Female,Adolescent,Rhod Ridgeback Mix,Black/Tan,0,Neutered
0,Cat,Female,Baby,Domestic Shorthair Mix,Tortie,0,Neutered
2,Cat,Female,Adolescent,Domestic Shorthair Mix,Black/White,0,Neutered
0,Dog,Female,Adolescent,German Shepherd Mix,Black/Brown,0,Neutered
0,Dog,Male,Adolescent,Labrador Retriever Mix,Tan,0,Neutered
1,Dog,Male,Adult,Australian Cattle Dog Mix,Black/Blue,0,Intact
2,Dog,Male,Senior,Dachshund Mix,Tan/White,0,Neutered
2,Cat,Male,Adolescent,Domestic Shorthair Mix,Orange Tabby,0,Intact
2,Cat,Female,Baby,Domestic Shorthair,Blue/White,1,Intact
2,Cat,Female,Baby,Domestic Shorthair Mix,Black,0,Intact
0,Cat,Male,Baby,Domestic Shorthair Mix,Brown Tabby/White,0,Neutered
2,Cat,Unknown,Baby,Snowshoe Mix,Seal Point,0,Unknown
0,Dog,Female,Adolescent,Vizsla Mix,Brown/White,0,Neutered
2,Cat,Female,Adolescent,Domestic Shorthair Mix,Orange Tabby/White,0,Intact
2,Dog,Male,Adolescent,Chihuahua Shorthair Mix,Black/Tan,0,Neutered
1,Cat,Female,Adolescent,Domestic Shorthair Mix,Black/White,0,Intact
0,Dog,Female,Adolescent,Flat Coat Retriever Mix,Black/White,0,Intact
3,Dog,Male,Adult,Pit Bull Mix,Blue/White,0,Neutered
0,Dog,Male,Adolescent,Golden Retriever/Labrador Retriever,White,0,Neutered
0,Cat,Female,Senior,Domestic Shorthair Mix,Brown Tabby,0,Neutered
1,Dog,Male,Adult,St. Bernard Smooth Coat Mix,Brown/White,0,Neutered
0,Dog,Male,Adult,Catahoula Mix,Brown Merle/White,0,Intact
2,Cat,Female,Baby,Domestic Shorthair Mix,Blue Tabby,0,Intact
0,Dog,Male,Baby,Miniature Pinscher Mix,Black/White,0,Neutered
2,Dog,Female,Adolescent,Chihuahua Shorthair Mix,Black,0,Intact
2,Dog,Female,Adolescent,Anatol Shepherd,Tan/White,1,Neutered
0,Dog,Male,Adolescent,Pit Bull Mix,Blue/White,0,Neutered
2,Cat,Male,Baby,Domestic Shorthair Mix,Black/White,0,Intact
1,Dog,Female,Senior,Chihuahua Shorthair,Chocolate/Tan,1,Neutered
2,Cat,Female,Baby,Domestic Shorthair Mix,Blue,0,Intact
0,Cat,Male,Baby,Domestic Shorthair Mix,Black/White,0,Neutered
2,Dog,Female,Adolescent,Chihuahua Shorthair/Dachshund,Brown/White,0,Neutered
3,Cat,Unknown,Baby,Domestic Shorthair Mix,Apricot/Orange Tabby,0,Unknown
0,Cat,Female,Baby,Domestic Shorthair Mix,Calico,0,Neutered
2,Dog,Female,Adolescent,Chihuahua Shorthair/Dachshund,Red/White,0,Neutered
0,Dog,Female,Adult,Boxer Mix,Brown Brindle/White,0,Neutered
2,Cat,Female,Baby,Domestic Shorthair Mix,Lynx Point,0,Intact
2,Cat,Male,Baby,Domestic Shorthair Mix,Black,0,Intact
3,Dog,Female,Senior,Labrador Retriever Mix,Yellow,0,Intact
0,Cat,Male,Adult,Domestic Shorthair,Black,1,Neutered
2,Dog,Female,Adolescent,German Shepherd Mix,Sable,0,Neutered
1,Cat,Female,Adult,Domestic Shorthair Mix,Black/White,0,Neutered
0,Dog,Male,Baby,Chihuahua Shorthair Mix,Black/Sable,0,Neutered
2,Dog,Male,Baby,Jack Russell Terrier Mix,Black/White,0,Intact
1,Dog,Male,Adult,Labrador Retriever Mix,Chocolate,0,Neutered
0,Dog,Female,Senior,German Shepherd Mix,Black/Tan,0,Neutered
1,Dog,Male,Adult,Toy Poodle Mix,White,0,Neutered
0,Dog,Male,Adult,German Shepherd/Rottweiler,Black/Brown,0,Neutered
2,Cat,Male,Baby,Domestic Shorthair Mix,Orange Tabby/White,0,Intact
0,Dog,Female,Baby,Miniature Poodle Mix,Black,0,Neutered
0,Dog,Male,Adolescent,Australian Cattle Dog/Catahoula,Red/White,0,Neutered
0,Cat,Male,Baby,Domestic Medium Hair Mix,Orange Tabby/White,0,Neutered
0,Dog,Male,Adult,American Bulldog Mix,Tan/White,0,Neutered
1,Cat,Female,Adolescent,Domestic Shorthair Mix,Orange Tabby,0,Intact
0,Dog,Male,Adolescent,Pit Bull Mix,Blue/White,0,Neutered
0,Cat,Male,Baby,Domestic Medium Hair Mix,Orange Tabby,0,Neutered
2,Cat,Female,Adult,American Shorthair Mix,Tortie,0,Neutered
2,Cat,Female,Baby,Domestic Shorthair Mix,Black,0,Intact
1,Dog,Male,Adult,Pit Bull Mix,Tan/White,0,Neutered
0,Cat,Female,Baby,Domestic Shorthair Mix,Black,0,Neutered
3,Dog,Male,Adult,Pit Bull Mix,Tan/White,0,Neutered
1,Dog,Male,Adult,Labrador Retriever,Yellow,1,Neutered
0,Dog,Female,Adolescent,Yorkshire Terrier Mix,Tan,0,Neutered
0,Cat,Male,Baby,Domestic Shorthair Mix,Brown Tabby/White,0,Neutered
2,Cat,Male,Baby,Domestic Shorthair Mix,Orange/White,0,Intact
1,Dog,Male,Adolescent,Pit Bull Mix,Black/White,0,Neutered
2,Cat,Male,Adolescent,Domestic Shorthair,Orange/White,1,Neutered
0,Cat,Female,Adolescent,Domestic Shorthair Mix,Brown Tabby/White,0,Neutered
3,Dog,Male,Adult,Pit Bull Mix,Blue/White,0,Intact
0,Dog,Male,Adolescent,Chihuahua Shorthair Mix,White,0,Neutered
1,Dog,Male,Adult,American Bulldog Mix,White,0,Neutered
2,Dog,Male,Baby,Chihuahua Shorthair/Dachshund,Tan,0,Neutered
2,Dog,Male,Adolescent,Great Pyrenees Mix,White,0,Neutered
1,Dog,Female,Adolescent,Labrador Retriever Mix,Black/Brown,0,Neutered
2,Cat,Female,Baby,Domestic Shorthair Mix,Orange Tabby,0,Intact
2,Cat,Male,Baby,Domestic Shorthair Mix,Blue/White,0,Intact
2,Cat,Male,Adolescent,Siamese Mix,Flame Point,0,Neutered
1,Dog,Male,Adult,Labrador Retriever Mix,Black/White,0,Neutered
0,Dog,Male,Adolescent,Chihuahua Shorthair Mix,Black/Brown,0,Neutered
0,Dog,Male,Adolescent,Pit Bull Mix,Black/White,0,Neutered
0,Dog,Male,Adolescent,Labrador Retriever Mix,Black,0,Neutered
0,Dog,Female,Baby,Dachshund Mix,Sable,0,Neutered
0,Dog,Female,Adult,Beagle/Staffordshire,White,0,Neutered
0,Dog,Female,Senior,Maltese Mix,White,0,Neutered
1,Dog,Female,Adult,Chihuahua Shorthair Mix,White,0,Neutered
3,Dog,Male,Baby,Chihuahua Shorthair Mix,Black/Brown,0,Intact
0,Dog,Male,Baby,Jack Russell Terrier Mix,Brown/White,0,Neutered
2,Dog,Male,Senior,Cocker Spaniel,Brown,1,Neutered
2,Cat,Unknown,Baby,Domestic Shorthair Mix,Brown Tabby,0,Unknown
0,Cat,Female,Baby,Domestic Shorthair Mix,Torbie/White,0,Neutered
1,Cat,Female,Adolescent,Domestic Shorthair Mix,Tortie,0,Neutered
2,Dog,Female,Adult,Chihuahua Shorthair Mix,Black/Tan,0,Neutered
