OutcomeType,AnimalType,SexuponOutcome,AgeuponOutcome,isPurebred,Breed 1,Breed 2,Color 1,Color 2
Adoption,Dog,Intact Female,2 months,1,German Shepherd,German Shepherd,Cream,White
Transfer,Dog,Intact Female,2 years,0,Yorkshire Terrier Mix,Yorkshire Terrier Mix,Black,Brown
Transfer,Cat,Intact Female,1 year,0,Domestic Shorthair Mix,Domestic Shorthair Mix,Tortie,Tortie
Transfer,Cat,Unknown,4 days,0,Domestic Shorthair Mix,Domestic Shorthair Mix,White,White
Adoption,Cat,Spayed Female,8 months,0,Domestic Shorthair Mix,Domestic Shorthair Mix,Torbie,Torbie
Adoption,Cat,Neutered Male,3 months,0,Domestic Shorthair Mix,Domestic Shorthair Mix,Brown Tabby,Brown Tabby
Adoption,Cat,Intact Female,1 month,0,Domestic Shorthair Mix,Domestic Shorthair Mix,Tortie,Tortie
Return_to_owner,Dog,Neutered Male,4 years,0,Yorkshire Terrier Mix,Yorkshire Terrier Mix,Black,Tan
Transfer,Dog,Spayed Female,12 years,0,Dachshund Mix,Dachshund Mix,Blue Merle,Blue Merle
Adoption,Cat,Spayed Female,2 months,0,Domestic Shorthair Mix,Domestic Shorthair Mix,Black,Black
Adoption,Cat,Spayed Female,2 months,0,Domestic Shorthair Mix,Domestic Shorthair Mix,Blue,White
Adoption,Dog,Neutered Male,2 years,0,Miniature Poodle Mix,Miniature Poodle Mix,White,White
Return_to_owner,Dog,Spayed Female,3 years,0,Pit Bull Mix,Pit Bull Mix,Brown Brindle,White
Euthanasia,Dog,Intact Female,4 months,0,Pit Bull Mix,Pit Bull Mix,Blue,White
Return_to_owner,Dog,Spayed Female,4 months,0,Chihuahua Shorthair Mix,Chihuahua Shorthair Mix,Fawn,Fawn
Adoption,Dog,Spayed Female,3 years,0,Labrador Retriever Mix,Labrador Retriever Mix,Brown,White
Adoption,Dog,Spayed Female,1 year,0,Pit Bull Mix,Pit Bull Mix,Brown,White
Return_to_owner,Dog,Spayed Female,3 years,0,Chihuahua Shorthair Mix,Chihuahua Shorthair Mix,Brown,Brown
Transfer,Cat,Intact Female,2 weeks,0,Domestic Shorthair Mix,Domestic Shorthair Mix,Calico,Calico
Adoption,Dog,Neutered Male,2 years,0,German Shepherd,Labrador Retriever,Sable,Sable
Transfer,Cat,Unknown,1 year,0,Domestic Medium Hair Mix,Domestic Medium Hair Mix,Blue,White
Return_to_owner,Dog,Intact Female,1 year,0,Pit Bull Mix,Pit Bull Mix,Tan,White
Transfer,Cat,Intact Male,3 weeks,0,Domestic Medium Hair Mix,Domestic Medium Hair Mix,Brown Tabby,Brown Tabby
Euthanasia,Cat,Intact Male,3 weeks,0,Domestic Shorthair Mix,Domestic Shorthair Mix,Orange Tabby,White
Transfer,Cat,Intact Male,2 weeks,0,Domestic Shorthair Mix,Domestic Shorthair Mix,Brown Tabby,Brown Tabby
Return_to_owner,Dog,Spayed Female,2 years,0,Carolina Dog Mix,Carolina Dog Mix,White,Yellow
Adoption,Dog,Neutered Male,2 years,0,Border Collie,Pointer,Black,White
Return_to_owner,Cat,Neutered Male,8 years,0,Domestic Shorthair Mix,Domestic Shorthair Mix,Black,Black
Adoption,Dog,Neutered Male,1 year,0,Manchester Terrier Mix,Manchester Terrier Mix,Red,White
Transfer,Dog,Unknown,1 week,0,Chihuahua Shorthair Mix,Chihuahua Shorthair Mix,Black,Brown
Transfer,Dog,Intact Male,4 months,0,American Bulldog Mix,American Bulldog Mix,Brown Brindle,White
Adoption,Dog,Spayed Female,2 years,0,Pekingese Mix,Pekingese Mix,Black,White
Transfer,Dog,Neutered Male,1 year,0,Pointer Mix,Pointer Mix,Black,White
Adoption,Cat,Neutered Male,2 months,0,Domestic Shorthair Mix,Domestic Shorthair Mix,Black,White
Return_to_owner,Dog,Neutered Male,5 months,0,Anatol Shepherd,Australian Cattle Dog,Tan,White
Return_to_owner,Dog,Intact Male,4 years,0,American Staffordshire Terrier Mix,American Staffordshire Terrier Mix,Black,White
Transfer,Cat,Intact Female,1 year,0,Domestic Shorthair Mix,Domestic Shorthair Mix,Black,Black
Euthanasia,Cat,Intact Female,4 months,0,Domestic Shorthair Mix,Domestic Shorthair Mix,Blue,White
Return_to_owner,Dog,Intact Male,4 years,0,Pit Bull Mix,Pit Bull Mix,Blue,White
Euthanasia,Dog,Neutered Male,2 years,0,Pit Bull Mix,Pit Bull Mix,Tan,White
Adoption,Cat,Neutered Male,3 months,0,Domestic Shorthair Mix,Domestic Shorthair Mix,Blue,White
Adoption,Dog,Neutered Male,1 year,0,Chihuahua Shorthair Mix,Chihuahua Shorthair Mix,Tan,White
Adoption,Dog,Neutered Male,1 year,0,Chihuahua Shorthair Mix,Chihuahua Shorthair Mix,White,Yellow
Adoption,Cat,Spayed Female,4 months,0,Domestic Shorthair Mix,Domestic Shorthair Mix,Calico,Calico
Euthanasia,Cat,Unknown,2 years,0,Domestic Shorthair Mix,Domestic Shorthair Mix,Torbie,Torbie
Transfer,Cat,Intact Female,1 month,0,Domestic Shorthair Mix,Domestic Shorthair Mix,Tortie,Tortie
Transfer,Cat,Intact Female,1 year,0,Domestic Shorthair Mix,Domestic Shorthair Mix,Calico,Calico
Transfer,Cat,Intact Female,10 months,0,Domestic Shorthair Mix,Domestic Shorthair Mix,Brown Tabby,White
Transfer,Dog,Neutered Male,1 year,0,Chihuahua Shorthair Mix,Chihuahua Shorthair Mix,Red,Red
Transfer,Cat,Intact Female,2 months,0,Domestic Shorthair Mix,Domestic Shorthair Mix,Blue Tabby,Blue Tabby
Transfer,Cat,Intact Male,1 month,0,Domestic Shorthair Mix,Domestic Shorthair Mix,Brown Tabby,White
Transfer,Cat,Intact Female,1 year,0,Domestic Shorthair Mix,Domestic Shorthair Mix,Cream Tabby,Cream Tabby
Adoption,Cat,Neutered Male,2 months,0,Domestic Shorthair Mix,Domestic Shorthair Mix,Black,Black
Transfer,Cat,Intact Female,3 years,0,Domestic Shorthair Mix,Domestic Shorthair Mix,Blue,Blue
Adoption,Dog,Spayed Female,5 months,0,Boxer Mix,Boxer Mix,Brown,White
Transfer,Dog,Spayed Female,10 months,0,Pit Bull Mix,Pit Bull Mix,Tan,White
Transfer,Cat,Intact Female,1 weeks,0,Domestic Shorthair Mix,Domestic Shorthair Mix,White,White
Return_to_owner,Cat,Spayed Female,1 year,0,Domestic Shorthair Mix,Domestic Shorthair Mix,Brown Tabby,Brown Tabby
Transfer,Cat,Unknown,3 weeks,0,Domestic Shorthair Mix,Domestic Shorthair Mix,Black,Black
Euthanasia,Cat,Unknown,6 months,0,Domestic Shorthair Mix,Domestic Shorthair Mix,Black,Black
Adoption,Dog,Neutered Male,7 years,0,Australian Cattle Dog,Boxer,Red Merle,Red Merle
Adoption,Cat,Spayed Female,2 years,0,Domestic Longhair Mix,Domestic Longhair Mix,Calico,White
Adoption,Dog,Neutered Male,5 months,0,Dachshund Mix,Dachshund Mix,Black,Brown
Euthanasia,Dog,Intact Female,9 years,0,Siberian Husky Mix,Siberian Husky Mix,Gray,Gray
Return_to_owner,Dog,Spayed Female,9 years,0,Rat Terrier Mix,Rat Terrier Mix,Black,White
Euthanasia,Dog,Intact Male,3 years,0,Pit Bull Mix,Pit Bull Mix,Blue,Blue
Adoption,Dog,Neutered Male,2 years,0,Whippet Mix,Whippet Mix,Brown,White
Transfer,Cat,Intact Male,3 months,0,Domestic Shorthair Mix,Domestic Shorthair Mix,Orange Tabby,Orange Tabby
Adoption,Dog,Spayed Female,12 years,0,Rat Terrier Mix,Rat Terrier Mix,Black,White
Transfer,Cat,Spayed Female,9 months,0,Domestic Shorthair Mix,Domestic Shorthair Mix,Blue Tabby,White
Adoption,Cat,Neutered Male,2 months,0,Domestic Shorthair Mix,Domestic Shorthair Mix,Blue,Blue
Transfer,Cat,Intact Male,1 month,0,Domestic Shorthair Mix,Domestic Shorthair Mix,Black,Black
Adoption,Dog,Neutered Male,8 years,0,Chihuahua Shorthair Mix,Chihuahua Shorthair Mix,Tan,Tan
Transfer,Dog,Intact Female,2 months,0,Anatol Shepherd Mix,Anatol Shepherd Mix,Brown,White
Adoption,Dog,Spayed Female,2 years,0,Dachshund Mix,Dachshund Mix,Brown,White
Adoption,Dog,Spayed Female,2 months,0,Cocker Spaniel,Labrador Retriever,Gold,White
Adoption,Cat,Intact Male,2 months,0,Domestic Shorthair Mix,Domestic Shorthair Mix,Orange Tabby,Orange Tabby
Transfer,Cat,Intact Male,3 weeks,0,Domestic Shorthair Mix,Domestic Shorthair Mix,Orange Tabby,White
Euthanasia,Dog,Spayed Female,2 years,0,Pit Bull Mix,Pit Bull Mix,Brown Brindle,White
Transfer,Cat,Spayed Female,1 year,0,Domestic Shorthair Mix,Domestic Shorthair Mix,Blue,White
Transfer,Cat,Intact Male,3 weeks,0,Domestic Shorthair Mix,Domestic Shorthair Mix,Calico,Calico
Euthanasia,Cat,Intact Female,12 years,0,Domestic Shorthair Mix,Domestic Shorthair Mix,Brown Tabby,Brown Tabby
Adoption,Cat,Spayed Female,8 years,0,Domestic Shorthair Mix,Domestic Shorthair Mix,Orange Tabby,White
Adoption,Cat,Neutered Male,2 months,0,Domestic Medium Hair Mix,Domestic Medium Hair Mix,Cream Tabby,Cream Tabby
Transfer,Cat,Intact Female,3 days,0,Domestic Shorthair Mix,Domestic Shorthair Mix,Buff,White
Transfer,Cat,Intact Male,4 months,0,Domestic Shorthair Mix,Domestic Shorthair Mix,Black,Black
Adoption,Cat,Intact Female,3 months,0,Domestic Shorthair Mix,Domestic Shorthair Mix,Tortie,Tortie
Adoption,Dog,Spayed Female,2 years,0,Chihuahua Shorthair Mix,Chihuahua Shorthair Mix,Black,Brown
Adoption,Cat,Spayed Female,1 month,0,Domestic Medium Hair Mix,Domestic Medium Hair Mix,Blue,White
Return_to_owner,Dog,Spayed Female,3 years,0,Australian Shepherd Mix,Australian Shepherd Mix,Tricolor,Tricolor
Euthanasia,Dog,Intact Male,6 years,0,Dachshund Mix,Dachshund Mix,Black,Black
Return_to_owner,Dog,Neutered Male,6 months,1,Chihuahua Shorthair,Chihuahua Shorthair,Tricolor,Tricolor
Transfer,Cat,Intact Male,6 months,0,Domestic Shorthair Mix,Domestic Shorthair Mix,Blue,Blue
Adoption,Dog,Spayed Female,2 months,0,Pit Bull Mix,Pit Bull Mix,Red,White
Adoption,Dog,Spayed Female,4 years,0,Beagle,Chihuahua Shorthair,Brown,White
Transfer,Dog,Intact Male,2 months,0,Labrador Retriever,Plott Hound,Tan,Tan
Return_to_owner,Cat,Neutered Male,2 months,0,Domestic Shorthair Mix,Domestic Shorthair Mix,Brown Tabby,White
Adoption,Dog,Spayed Female,3 years,0,English Bulldog,Staffordshire,Brown Brindle,Brown Brindle
Transfer,Cat,Intact Female,4 months,0,Domestic Shorthair Mix,Domestic Shorthair Mix,Brown Tabby,White
Return_to_owner,Dog,Intact Female,12 years,1,Yorkshire Terrier,Yorkshire Terrier,Black,Red
Adoption,Dog,Spayed Female,2 years,0,Pit Bull Mix,Pit Bull Mix,Brown,White
Transfer,Cat,Spayed Female,9 months,0,Domestic Shorthair Mix,Domestic Shorthair Mix,Tortie,Tortie
Euthanasia,Cat,Intact Female,1 month,0,Domestic Longhair Mix,Domestic Longhair Mix,Blue Cream,Blue Cream
Transfer,Dog,Intact Female,10 months,0,Australian Cattle Dog Mix,Australian Cattle Dog Mix,Black,White
Transfer,Dog,Intact Male,3 years,1,Weimaraner,Weimaraner,Blue,Blue
Transfer,Dog,Spayed Female,2 years,0,Chihuahua Shorthair Mix,Chihuahua Shorthair Mix,Black,Black
Transfer,Cat,Unknown,1 weeks,0,Domestic Shorthair Mix,Domestic Shorthair Mix,Orange Tabby,Orange Tabby
Adoption,Dog,Spayed Female,3 months,0,Cardigan Welsh Corgi,English Setter,Black,White
Adoption,Dog,Neutered Male,2 years,0,Pit Bull Mix,Pit Bull Mix,Black,White
Adoption,Dog,Neutered Male,7 years,0,Podengo Pequeno Mix,Podengo Pequeno Mix,Black,White
Return_to_owner,Dog,Neutered Male,9 years,0,Leonberger Mix,Leonberger Mix,Sable,Sable
Return_to_owner,Dog,Neutered Male,9 years,1,Pit Bull,Pit Bull,Red,White
Transfer,Cat,Neutered Male,2 months,0,Domestic Shorthair Mix,Domestic Shorthair Mix,Orange Tabby,White
Adoption,Cat,Spayed Female,2 months,0,Domestic Medium Hair Mix,Domestic Medium Hair Mix,Calico,Calico
Adoption,Dog,Spayed Female,6 years,0,German Shepherd Mix,German Shepherd Mix,Black,Tan
Return_to_owner,Dog,Intact Female,3 years,0,Great Pyrenees Mix,Great Pyrenees Mix,Brown,White
Return_to_owner,Dog,Neutered Male,6 years,1,German Shepherd,German Shepherd,Black,Tan
Transfer,Dog,Unknown,1 week,0,Chihuahua Shorthair Mix,Chihuahua Shorthair Mix,Black,Brown
Return_to_owner,Dog,Neutered Male,12 years,0,Yorkshire Terrier Mix,Yorkshire Terrier Mix,Black,Tan
Return_to_owner,Dog,Spayed Female,8 months,0,Australian Kelpie Mix,Australian Kelpie Mix,Black,Red
Return_to_owner,Dog,Spayed Female,10 years,0,Labrador Retriever,Redbone Hound,Chocolate,White
Return_to_owner,Dog,Neutered Male,2 years,0,Miniature Poodle,Yorkshire Terrier,Red,Red
Adoption,Cat,Spayed Female,3 months,0,Domestic Shorthair Mix,Domestic Shorthair Mix,Black,Black
Adoption,Cat,Neutered Male,5 months,0,Domestic Shorthair Mix,Domestic Shorthair Mix,Orange Tabby,Orange Tabby
Return_to_owner,Dog,Neutered Male,1 year,0,Pit Bull Mix,Pit Bull Mix,Brown,White
Transfer,Cat,Spayed Female,2 years,0,Domestic Shorthair Mix,Domestic Shorthair Mix,Torbie,Torbie
Transfer,Cat,Unknown,2 years,1,Domestic Shorthair,Domestic Shorthair,Brown Tabby,White
Adoption,Dog,Neutered Male,3 months,0,Chihuahua Shorthair Mix,Chihuahua Shorthair Mix,Black,White
Return_to_owner,Dog,Neutered Male,2 years,0,Chihuahua Shorthair Mix,Chihuahua Shorthair Mix,Brown,White
Adoption,Dog,Spayed Female,2 months,0,German Shepherd Mix,German Shepherd Mix,Cream,Cream
Adoption,Dog,Spayed Female,1 year,0,Chihuahua Shorthair Mix,Chihuahua Shorthair Mix,Tan,White
Adoption,Dog,Spayed Female,5 years,0,Chihuahua Shorthair Mix,Chihuahua Shorthair Mix,Tan,Tan
Adoption,Cat,Intact Female,3 months,0,Domestic Shorthair Mix,Domestic Shorthair Mix,Brown Tabby,Brown Tabby
Return_to_owner,Dog,Neutered Male,1 year,0,Golden Retriever Mix,Golden Retriever Mix,Brown,Brown
Transfer,Dog,Neutered Male,1 year,0,Labrador Retriever Mix,Labrador Retriever Mix,Black,Black
Transfer,Dog,Neutered Male,2 years,0,Basenji Mix,Basenji Mix,Red,White
Transfer,Cat,Unknown,1 year,0,Domestic Shorthair Mix,Domestic Shorthair Mix,Blue,Blue
Adoption,Dog,Spayed Female,1 year,0,Chihuahua Shorthair Mix,Chihuahua Shorthair Mix,Blue,Tan
Transfer,Cat,Neutered Male,1 year,0,Domestic Shorthair Mix,Domestic Shorthair Mix,Brown Tabby,Brown Tabby
Adoption,Dog,Neutered Male,6 years,0,Pointer Mix,Pointer Mix,Brown,White
Transfer,Cat,Intact Female,5 months,0,Domestic Medium Hair Mix,Domestic Medium Hair Mix,Torbie,Torbie
Return_to_owner,Dog,Neutered Male,12 years,0,Miniature Schnauzer Mix,Miniature Schnauzer Mix,White,White
Transfer,Cat,Unknown,2 weeks,0,Domestic Shorthair Mix,Domestic Shorthair Mix,Brown,White
Transfer,Cat,Intact Male,2 weeks,0,Domestic Medium Hair Mix,Domestic Medium Hair Mix,Black,Black
Adoption,Cat,Spayed Female,1 year,0,Domestic Shorthair Mix,Domestic Shorthair Mix,Brown Tabby,White
Adoption,Dog,Neutered Male,5 months,0,Chihuahua Shorthair Mix,Chihuahua Shorthair Mix,Black,Brown
Transfer,Cat,Intact Male,1 year,0,Domestic Shorthair Mix,Domestic Shorthair Mix,Brown Tabby,White
Adoption,Cat,Spayed Female,2 months,0,Domestic Shorthair Mix,Domestic Shorthair Mix,Tortie,Tortie
Adoption,Cat,Neutered Male,2 months,0,Domestic Longhair Mix,Domestic Longhair Mix,Black,Black
Adoption,Dog,Neutered Male,2 years,0,Bruss Griffon,Cairn Terrier,Buff,White
Return_to_owner,Dog,Neutered Male,1 year,0,Norwich Terrier Mix,Norwich Terrier Mix,Tan,White
Return_to_owner,Dog,Spayed Female,10 years,0,Labrador Retriever,Pit Bull,Black Brindle,Black Brindle
Adoption,Dog,Spayed Female,3 years,0,Miniature Poodle,Miniature Schnauzer,Gray,White
Return_to_owner,Dog,Neutered Male,11 years,0,Bernese Mountain Dog Mix,Bernese Mountain Dog Mix,Black,White
Transfer,Cat,Intact Female,1 year,0,Domestic Shorthair Mix,Domestic Shorthair Mix,Brown Tabby,Brown Tabby
Transfer,Dog,Neutered Male,3 years,0,Chihuahua Shorthair,Miniature Pinscher,Black,Tan
Return_to_owner,Dog,Neutered Male,3 years,0,Labrador Retriever Mix,Labrador Retriever Mix,Black,Brown
Transfer,Dog,Spayed Female,5 years,0,Chihuahua Shorthair Mix,Chihuahua Shorthair Mix,Black,White
Transfer,Dog,Intact Female,1 year,0,Boxer Mix,Boxer Mix,Red,White
Adoption,Cat,Neutered Male,6 months,0,Domestic Medium Hair Mix,Domestic Medium Hair Mix,Orange Tabby,Orange Tabby
Adoption,Dog,Spayed Female,2 years,0,Chihuahua Shorthair,Chinese Sharpei,Tan,Tan
Transfer,Cat,Intact Male,3 days,0,Domestic Shorthair Mix,Domestic Shorthair Mix,Black,Black
Transfer,Dog,Neutered Male,3 months,0,Border Collie Mix,Border Collie Mix,Black,Black
Euthanasia,Dog,Intact Male,6 years,0,Pit Bull Mix,Pit Bull Mix,Red,White
Transfer,Cat,Intact Female,1 year,0,Domestic Shorthair Mix,Domestic Shorthair Mix,Blue Tabby,Blue Tabby
Euthanasia,Dog,Intact Female,9 years,0,Shih Tzu Mix,Shih Tzu Mix,Brown,White
Return_to_owner,Dog,Intact Male,2 years,0,Boston Terrier Mix,Boston Terrier Mix,Black,White
Adoption,Cat,Intact Female,2 months,0,Domestic Shorthair Mix,Domestic Shorthair Mix,Black,White
Adoption,Dog,Spayed Female,5 years,0,Miniature Schnauzer,Yorkshire Terrier,Gray,Gray
Adoption,Cat,Spayed Female,3 months,0,Domestic Shorthair Mix,Domestic Shorthair Mix,Torbie,Torbie
Adoption,Dog,Neutered Male,7 months,0,Chihuahua Shorthair,Dachshund,Tan,White
Transfer,Cat,Unknown,1 weeks,0,Domestic Shorthair Mix,Domestic Shorthair Mix,Brown Tabby,Brown Tabby
Adoption,Dog,Spayed Female,7 months,0,Golden Retriever,Labrador Retriever,Yellow,Yellow
Transfer,Cat,Intact Male,2 weeks,0,Domestic Shorthair Mix,Domestic Shorthair Mix,Silver Tabby,Silver Tabby
Adoption,Cat,Neutered Male,3 months,0,Domestic Shorthair Mix,Domestic Shorthair Mix,Black,Black
Adoption,Cat,Spayed Female,1 year,0,Himalayan Mix,Himalayan Mix,Lynx Point,Lynx Point
Adoption,Dog,Spayed Female,5 months,0,Anatol Shepherd,Labrador Retriever,Tan,White
Adoption,Cat,Neutered Male,2 months,0,Domestic Longhair Mix,Domestic Longhair Mix,Brown Tabby,Brown Tabby
Transfer,Dog,Intact Female,3 years,0,Shih Tzu Mix,Shih Tzu Mix,Buff,White
Transfer,Cat,Unknown,4 weeks,0,Domestic Longhair Mix,Domestic Longhair Mix,Blue Tabby,White
Adoption,Dog,Spayed Female,6 years,0,Australian Shepherd Mix,Australian Shepherd Mix,Brown,Tan
Transfer,Cat,Unknown,8 months,0,Domestic Shorthair Mix,Domestic Shorthair Mix,Black,Black
Adoption,Cat,Spayed Female,11 years,0,Domestic Shorthair Mix,Domestic Shorthair Mix,Black,Black
Adoption,Cat,Intact Male,1 month,0,Domestic Shorthair Mix,Domestic Shorthair Mix,Orange Tabby,Orange Tabby
Adoption,Cat,Neutered Male,2 months,0,Domestic Shorthair Mix,Domestic Shorthair Mix,Orange Tabby,Orange Tabby
Transfer,Cat,Spayed Female,5 months,0,Domestic Shorthair Mix,Domestic Shorthair Mix,Black,White
Transfer,Dog,Intact Male,2 years,0,Pit Bull Mix,Pit Bull Mix,Red,White
Transfer,Cat,Unknown,8 months,0,Domestic Shorthair Mix,Domestic Shorthair Mix,Black,White
Euthanasia,Dog,Intact Female,2 years,1,Miniature Poodle,Miniature Poodle,White,White
Adoption,Dog,Spayed Female,4 months,0,Chihuahua Shorthair,Yorkshire Terrier,Silver,Tan
Transfer,Dog,Intact Female,9 years,0,Miniature Pinscher Mix,Miniature Pinscher Mix,Brown,Brown
Adoption,Cat,Spayed Female,2 months,0,Domestic Shorthair Mix,Domestic Shorthair Mix,Orange Tabby,White
Transfer,Cat,Intact Male,1 month,0,Domestic Shorthair Mix,Domestic Shorthair Mix,Black,Black
Euthanasia,Dog,Intact Male,2 years,0,Australian Cattle Dog Mix,Australian Cattle Dog Mix,Black,White
Adoption,Dog,Neutered Male,8 years,1,Parson Russell Terrier,Parson Russell Terrier,Brown,White
Euthanasia,Cat,Intact Male,5 years,0,Domestic Shorthair Mix,Domestic Shorthair Mix,Brown Tabby,White
Adoption,Cat,Spayed Female,2 months,0,Domestic Medium Hair Mix,Domestic Medium Hair Mix,Black,White
Adoption,Dog,Intact Male,2 months,0,German Shepherd Mix,German Shepherd Mix,Black,Brown
Transfer,Dog,Spayed Female,2 years,0,Chihuahua Shorthair Mix,Chihuahua Shorthair Mix,Brown,Tan
Transfer,Dog,Intact Female,2 years,0,Catahoula,Labrador Retriever,Tan,White
Return_to_owner,Cat,Spayed Female,5 years,0,Domestic Shorthair Mix,Domestic Shorthair Mix,Black,Black
Adoption,Cat,Spayed Female,2 months,0,Domestic Shorthair Mix,Domestic Shorthair Mix,Blue,White
Transfer,Dog,Intact Female,4 months,0,German Shepherd Mix,German Shepherd Mix,Black,Brown
Adoption,Dog,Neutered Male,1 month,0,English Pointer Mix,English Pointer Mix,Chocolate,White
Return_to_owner,Dog,Spayed Female,3 years,0,Yorkshire Terrier Mix,Yorkshire Terrier Mix,Black,Tan
Transfer,Dog,Intact Female,1 year,0,Shih Tzu Mix,Shih Tzu Mix,Cream,White
Return_to_owner,Dog,Neutered Male,4 years,0,Labrador Retriever Mix,Labrador Retriever Mix,Yellow,Yellow
Euthanasia,Cat,Neutered Male,15 years,0,Domestic Shorthair Mix,Domestic Shorthair Mix,Blue Tabby,White
Euthanasia,Dog,Intact Male,2 years,0,Labrador Retriever Mix,Labrador Retriever Mix,Tan,Tan
Adoption,Dog,Spayed Female,2 years,0,Boxer Mix,Boxer Mix,Brown,White
Adoption,Dog,Spayed Female,1 year,0,American Bulldog Mix,American Bulldog Mix,Brown,White
Adoption,Dog,Neutered Male,2 years,0,Redbone Hound Mix,Redbone Hound Mix,Black,Red
Return_to_owner,Dog,Spayed Female,12 years,0,Catahoula,Labrador Retriever,Blue Merle,Tan
Transfer,Dog,Intact Male,2 months,0,Border Terrier,Labrador Retriever,Brown Brindle,Brown Brindle
Adoption,Dog,Neutered Male,2 years,0,Australian Shepherd,Chihuahua Shorthair,Black,Tan
Adoption,Dog,Spayed Female,2 years,0,Australian Cattle Dog Mix,Australian Cattle Dog Mix,Brown,White
Return_to_owner,Dog,Spayed Female,2 years,0,Australian Cattle Dog Mix,Australian Cattle Dog Mix,Buff,Buff
Adoption,Cat,Spayed Female,1 year,1,Domestic Medium Hair,Domestic Medium Hair,Torbie,Torbie
Adoption,Cat,Spayed Female,9 months,0,Domestic Shorthair Mix,Domestic Shorthair Mix,White,White
Adoption,Dog,Neutered Male,4 months,0,Blue Lacy Mix,Blue Lacy Mix,Blue,Tan
Return_to_owner,Dog,Neutered Male,7 years,0,Rat Terrier Mix,Rat Terrier Mix,Tricolor,Tricolor
Return_to_owner,Dog,Neutered Male,9 months,1,Great Dane,Great Dane,Brown,White
Adoption,Cat,Neutered Male,8 years,0,Domestic Shorthair Mix,Domestic Shorthair Mix,Orange Tabby,White
Transfer,Cat,Intact Female,6 days,0,Domestic Shorthair Mix,Domestic Shorthair Mix,Black,Black
Return_to_owner,Dog,Neutered Male,3 years,0,Basset Hound Mix,Basset Hound Mix,Tricolor,Tricolor
Adoption,Dog,Spayed Female,1 year,0,Cardigan Welsh Corgi,Chihuahua Shorthair,Tan,Tan
Transfer,Dog,Spayed Female,4 months,0,Plott Hound Mix,Plott Hound Mix,Brown Brindle,White
Transfer,Cat,Intact Male,4 weeks,0,Domestic Shorthair Mix,Domestic Shorthair Mix,Black,White
Return_to_owner,Dog,Neutered Male,5 years,0,Basset Hound Mix,Basset Hound Mix,Black,Tan
Adoption,Cat,Spayed Female,3 months,0,Domestic Shorthair Mix,Domestic Shorthair Mix,Brown Tabby,Brown Tabby
Transfer,Dog,Spayed Female,7 months,0,Anatol Shepherd Mix,Anatol Shepherd Mix,Tan,Tan
Transfer,Dog,Spayed Female,2 years,0,German Shepherd,Labrador Retriever,Brown,Brown
Return_to_owner,Dog,Spayed Female,4 years,0,Chihuahua Shorthair Mix,Chihuahua Shorthair Mix,Blue,White
Adoption,Dog,Spayed Female,1 year,0,Pit Bull Mix,Pit Bull Mix,Brown,White
Adoption,Cat,Neutered Male,1 year,0,Domestic Shorthair Mix,Domestic Shorthair Mix,Black,Black
Adoption,Cat,Intact Male,2 months,0,Domestic Shorthair Mix,Domestic Shorthair Mix,Orange Tabby,White
Return_to_owner,Dog,Spayed Female,2 years,0,Pit Bull Mix,Pit Bull Mix,Blue,White
Adoption,Dog,Neutered Male,1 year,0,Bruss Griffon Mix,Bruss Griffon Mix,Tricolor,Tricolor
Return_to_owner,Dog,Neutered Male,6 months,0,Chihuahua Shorthair Mix,Chihuahua Shorthair Mix,Tan,White
Adoption,Dog,Neutered Male,8 years,0,Border Collie Mix,Border Collie Mix,Black,White
Return_to_owner,Dog,Neutered Male,2 years,0,Australian Cattle Dog,German Shepherd,Red,Red
Transfer,Dog,Intact Female,1 year,0,Chihuahua Shorthair Mix,Chihuahua Shorthair Mix,Black,Black
Adoption,Cat,Spayed Female,4 months,0,Domestic Shorthair Mix,Domestic Shorthair Mix,Blue,Blue
Transfer,Dog,Intact Female,8 months,1,Pit Bull,Pit Bull,Blue,White
Adoption,Dog,Spayed Female,1 year,0,Labrador Retriever,Vizsla,Red,Red
Adoption,Dog,Spayed Female,1 year,0,Cairn Terrier Mix,Cairn Terrier Mix,Black,White
Transfer,Dog,Intact Female,5 months,0,Chihuahua Shorthair Mix,Chihuahua Shorthair Mix,Black,White
Transfer,Cat,Neutered Male,14 years,0,Domestic Shorthair Mix,Domestic Shorthair Mix,Orange Tabby,White
Adoption,Cat,Spayed Female,7 years,0,Domestic Shorthair Mix,Domestic Shorthair Mix,Brown Tabby,Brown Tabby
Return_to_owner,Cat,Spayed Female,4 years,0,Domestic Shorthair Mix,Domestic Shorthair Mix,Black,Black
Transfer,Cat,Spayed Female,1 year,0,Domestic Shorthair Mix,Domestic Shorthair Mix,Blue,White
Transfer,Cat,Intact Female,3 years,0,Domestic Shorthair Mix,Domestic Shorthair Mix,Brown Tabby,Brown Tabby
Adoption,Dog,Spayed Female,1 year,0,German Shepherd Mix,German Shepherd Mix,Black,Tan
Adoption,Dog,Spayed Female,2 years,0,Queensland Heeler Mix,Queensland Heeler Mix,Blue Tick,Blue Tick
Return_to_owner,Dog,Neutered Male,4 years,0,German Shepherd Mix,German Shepherd Mix,Black,Tan
Return_to_owner,Dog,Neutered Male,2 years,0,Labrador Retriever Mix,Labrador Retriever Mix,Black,White
Adoption,Cat,Neutered Male,2 months,0,Domestic Shorthair Mix,Domestic Shorthair Mix,Black,White
